Participant_ID,Dates,Calories
p03,2020-04-15,-242.09503044829785
p03,2020-04-16,-182.63127519680774
p03,2020-04-17,-212.23943324174647
p03,2020-04-18,-954.7311025457115
p03,2020-04-19,-964.5142457735652
p03,2020-04-20,-318.4168900172281
p03,2020-04-21,-440.6071569868666
p03,2020-04-22,-310.5769707874649
p03,2020-04-23,-251.11321553588772
p03,2020-04-24,-280.7213735809885
p03,2020-04-25,-1023.2130428859949
p03,2020-04-26,-1032.9961861127144
p03,2020-04-27,-386.8988303577277
p03,2020-04-28,-509.0890973260976
p03,2020-04-29,-379.05891112675937
p03,2020-04-30,-319.59515587536896
p03,2020-05-01,-349.20331391920445
p03,2020-05-02,-1091.6949832235641
p03,2020-05-03,-1101.4781264518638
p03,2020-05-04,-455.38077069663143
p03,2020-05-05,-577.5710376659019
p03,2020-05-06,-447.5408514659265
p03,2020-05-07,-388.07709621444894
p03,2020-05-08,-417.68525425844643
p03,2020-05-09,-1160.1769235638476
p03,2020-05-10,-1169.960066791013
p03,2020-05-11,-523.8627110361153
p03,2020-05-12,-646.0529780051331
p03,2020-05-13,-516.0227918057594
p03,2020-05-14,-456.5590365535288
p03,2020-05-15,-486.167194598348
p03,2020-05-16,-1228.6588639025567
p03,2020-05-17,-1238.4420071294035
p03,2020-05-18,-592.3446513760348
p03,2020-05-19,-714.534918344364
p03,2020-05-20,-584.5047321449899
p03,2020-05-21,-525.0409768926086
p03,2020-05-22,-554.6491349382494
p03,2020-05-23,-1297.1408042428402
p03,2020-05-24,-1306.9239474704752
p03,2020-05-25,-660.8265917155188
p03,2020-05-26,-783.016858683882
p03,2020-05-27,-652.9866724842209
p03,2020-05-28,-593.5229172329399
p03,2020-05-29,-623.1310752758062
p03,2020-05-30,-1365.6227445831237
p03,2020-05-31,-1375.4058878096243
p03,2020-06-01,-729.3085320544227
p03,2020-06-02,-851.4987990233994
p03,2020-06-03,-721.4686128233877
p03,2020-06-04,-662.0048575716185
p03,2020-06-05,-691.613015615048
p03,2020-06-06,-1434.1046849218326
p03,2020-06-07,-1443.8878281487737
p03,2020-06-08,-797.7904723933265
p03,2020-06-09,-919.9807393622185
p03,2020-06-10,-789.9505531626824
p03,2020-06-11,-730.4867979110996
p03,2020-06-12,-760.0949559549497
p03,2020-06-13,-1502.5866252621163
p03,2020-06-14,-1512.3697684890867
p03,2020-06-15,-866.2724127322301
p03,2020-06-16,-988.4626797014494
p03,2020-06-17,-858.4324935018494
p03,2020-06-18,-798.9687382501795
p03,2020-06-19,-828.5768962948509
p03,2020-06-20,-1571.0685655996854
p03,2020-06-21,-1580.8517088289948
p03,2020-06-22,-934.7543530717139
p03,2020-06-23,-1056.9446200412538
p03,2020-06-24,-926.9144338410163
p03,2020-06-25,-867.4506785901094
p03,2020-06-26,-897.0588366347524
